sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD
sid182	sid219	86	0.3023	-2.10524e+02	5	4.529	13	0.83824	0.75132
sid182	sid220	92	0.3913	-2.17535e+02	5	2.323	9	0.73958	0.68413
sid182	sid221	75	0.0000	-1.37897e+02	5	0.001	0	1.00000	1.00000
sid182	sid222	86	0.3023	-2.10313e+02	5	4.529	13	0.83824	0.75132
sid182	sid223	74	0.0000	-1.36505e+02	5	0.001	0	1.00000	1.00000
sid182	sid225	92	0.3913	-2.17535e+02	5	2.323	9	0.73958	0.68413
sid182	sid227	75	0.0000	-1.38003e+02	5	0.001	0	1.00000	1.00000
sid182	sid231	75	0.0000	-1.38003e+02	5	0.001	0	1.00000	1.00000
sid182	sid235	86	0.3023	-2.10313e+02	5	4.529	13	0.83824	0.75132
sid182	sid269	92	0.3913	-2.17535e+02	5	2.323	9	0.73958	0.68413
sid182	sid292	84	0.4167	-2.21387e+02	5	4.548	12	0.79115	0.60978
sid182	sid308	88	0.3977	-2.19521e+02	5	4.202	12	0.82653	0.63614
sid182	sid309	94	0.4681	-2.48201e+02	5	5.000	16	0.67821	0.54334
sid182	sid311	75	0.0000	-1.38003e+02	5	0.001	0	1.00000	1.00000
sid182	sid313	88	0.3864	-2.13953e+02	5	3.395	10	0.82915	0.65380
sid182	sid319	74	0.0270	-1.46248e+02	5	5.000	3	0.99710	0.96542
sid182	sid321	89	0.4157	-2.13633e+02	5	2.338	9	0.73567	0.67775
sid182	sid324	88	0.3864	-2.14668e+02	5	3.298	10	0.82915	0.65372
sid183	sid185	70	0.0286	-1.45600e+02	5	5.000	3	0.99748	0.96543
sid183	sid211	78	0.2692	-1.93013e+02	5	5.000	14	0.87161	0.80688
sid183	sid216	79	0.2785	-2.08824e+02	5	5.000	17	0.86309	0.75969
sid183	sid218	90	0.4333	-2.17282e+02	5	2.682	9	0.67460	0.65090
sid183	sid219	79	0.2785	-2.00896e+02	5	5.000	16	0.86824	0.78297
sid183	sid220	70	0.0286	-1.45600e+02	5	5.000	3	0.99748	0.96543
sid183	sid221	90	0.4333	-2.26085e+02	5	3.322	11	0.67898	0.62547
sid183	sid222	79	0.2785	-2.00684e+02	5	5.000	16	0.86824	0.78297
sid183	sid223	88	0.4205	-2.12703e+02	5	2.723	9	0.67460	0.65324
sid183	sid225	70	0.0286	-1.45600e+02	5	5.000	3	0.99748	0.96543
sid183	sid227	90	0.4333	-2.17282e+02	5	2.682	9	0.67460	0.65090
sid183	sid231	90	0.4333	-2.17282e+02	5	2.682	9	0.67460	0.65090
sid183	sid235	79	0.2785	-2.00684e+02	5	5.000	16	0.86824	0.78297
sid183	sid269	70	0.0286	-1.45600e+02	5	5.000	3	0.99748	0.96543
sid183	sid309	83	0.3614	-2.19829e+02	5	5.000	19	0.88551	0.69879
sid183	sid311	89	0.4270	-2.14492e+02	5	2.715	9	0.67460	0.65145
sid183	sid319	87	0.4253	-2.03082e+02	5	2.189	7	0.63192	0.63547
sid183	sid321	68	0.0147	-1.36755e+02	5	5.000	2	0.99837	0.98282
sid185	sid211	83	0.2771	-2.03283e+02	5	5.000	13	0.84219	0.80808
sid185	sid216	82	0.2683	-2.00117e+02	5	5.000	14	0.86506	0.81124
sid185	sid218	93	0.3978	-2.20398e+02	5	2.298	9	0.73958	0.68376
sid185	sid219	84	0.2738	-2.04654e+02	5	5.000	13	0.84219	0.80824
sid185	sid220	74	0.0000	-1.39102e+02	5	0.001	0	1.00000	1.00000
sid185	sid221	92	0.3913	-2.17429e+02	5	2.323	9	0.73958	0.68412
sid185	sid222	84	0.2738	-2.04442e+02	5	5.000	13	0.84219	0.80824
sid185	sid223	91	0.3956	-2.15346e+02	5	2.310	9	0.73567	0.68073
sid185	sid225	74	0.0000	-1.39102e+02	5	0.001	0	1.00000	1.00000
sid185	sid227	93	0.3978	-2.20398e+02	5	2.298	9	0.73958	0.68376
sid185	sid231	93	0.3978	-2.20398e+02	5	2.298	9	0.73958	0.68376
sid185	sid235	84	0.2738	-2.04442e+02	5	5.000	13	0.84219	0.80824
sid185	sid269	74	0.0000	-1.39102e+02	5	0.001	0	1.00000	1.00000
sid185	sid309	88	0.3636	-2.34436e+02	5	5.000	20	0.86445	0.67918
sid185	sid311	92	0.3913	-2.17553e+02	5	2.323	9	0.73958	0.68415
sid185	sid319	91	0.4176	-2.16747e+02	5	2.357	7	0.63087	0.61241
sid185	sid321	72	0.0278	-1.47866e+02	5	3.526	2	0.98689	0.96050
sid187	sid202	68	0.0147	-1.32373e+02	4	5.000	2	1.00000	0.99224
sid187	sid203	72	0.0000	-1.34393e+02	5	0.001	0	1.00000	1.00000
sid187	sid204	72	0.0000	-1.34287e+02	5	0.001	0	1.00000	1.00000
sid188	sid189	86	0.3488	-2.11718e+02	5	1.854	6	0.55937	0.63678
sid188	sid191	87	0.3448	-2.12899e+02	5	1.910	6	0.55937	0.64006
sid188	sid198	87	0.3448	-2.12899e+02	5	1.910	6	0.55937	0.64006
sid188	sid256	87	0.3448	-2.12899e+02	5	1.910	6	0.55937	0.64006
sid188	sid259	87	0.3448	-2.12899e+02	5	1.910	6	0.55937	0.64006
sid188	sid263	68	0.0000	-1.26184e+02	5	0.002	0	1.00000	1.00000
sid188	sid271	78	0.1667	-1.80535e+02	5	3.745	7	0.90381	0.84055
sid188	sid276	99	0.4747	-2.70173e+02	5	5.000	12	0.38828	0.39276
sid188	sid282	79	0.1646	-1.81519e+02	5	3.824	7	0.90381	0.84231
sid188	sid285	93	0.4731	-2.62650e+02	5	5.000	12	0.39486	0.42525
sid189	sid191	74	0.0000	-1.33721e+02	5	0.001	0	1.00000	1.00000
sid189	sid198	74	0.0000	-1.33721e+02	5	0.001	0	1.00000	1.00000
sid189	sid256	74	0.0000	-1.33721e+02	5	0.001	0	1.00000	1.00000
sid189	sid259	74	0.0000	-1.33721e+02	5	0.001	0	1.00000	1.00000
sid189	sid260	98	0.4898	-2.60791e+02	5	5.000	15	0.48057	0.44422
sid189	sid263	86	0.3488	-2.11718e+02	5	1.854	6	0.55937	0.63678
sid189	sid271	83	0.2289	-1.95418e+02	5	2.547	8	0.76426	0.78213
sid189	sid273	100	0.5000	-2.72900e+02	5	4.394	5	0.24176	0.26048
sid189	sid282	84	0.2262	-1.96384e+02	5	2.537	8	0.76426	0.78224
sid189	sid285	97	0.4948	-2.68974e+02	5	5.000	15	0.44200	0.43302
sid190	sid194	73	0.0000	-1.41848e+02	5	0.001	0	1.00000	1.00000
sid190	sid201	73	0.0000	-1.42377e+02	5	0.001	0	1.00000	1.00000
sid190	sid240	87	0.4138	-2.45123e+02	5	3.406	10	0.60150	0.56823
sid190	sid274	92	0.3370	-2.40787e+02	5	3.477	13	0.58251	0.60166
sid191	sid198	75	0.0000	-1.34753e+02	5	0.001	0	1.00000	1.00000
sid191	sid256	75	0.0000	-1.34753e+02	5	0.001	0	1.00000	1.00000
sid191	sid259	75	0.0000	-1.34753e+02	5	0.001	0	1.00000	1.00000
sid191	sid260	99	0.4848	-2.61891e+02	5	5.000	15	0.48057	0.44748
sid191	sid263	86	0.3488	-2.11718e+02	5	1.854	6	0.55937	0.63678
sid191	sid271	84	0.2262	-1.96443e+02	5	2.530	8	0.76426	0.78221
sid191	sid273	101	0.4950	-2.74612e+02	5	4.670	5	0.24176	0.27110
sid191	sid282	85	0.2235	-1.97410e+02	5	2.520	8	0.76426	0.78231
sid191	sid285	98	0.4898	-2.70014e+02	5	5.000	15	0.44200	0.43458
sid192	sid196	75	0.4533	-1.93550e+02	5	1.426	5	0.69890	0.68541
sid192	sid197	75	0.4533	-1.93550e+02	5	1.426	5	0.69890	0.68541
sid192	sid205	71	0.4648	-1.85177e+02	5	1.435	5	0.69890	0.68502
sid192	sid264	74	0.4595	-1.92480e+02	5	1.394	5	0.69890	0.68078
sid192	sid286	75	0.4533	-1.93550e+02	5	1.426	5	0.69890	0.68541
sid194	sid201	73	0.0000	-1.41848e+02	5	0.001	0	1.00000	1.00000
sid194	sid240	86	0.4070	-2.42468e+02	5	3.534	10	0.60150	0.57116
sid194	sid274	92	0.3370	-2.40152e+02	5	3.475	13	0.58251	0.60146
sid195	sid200	82	0.3902	-2.21226e+02	5	2.247	6	0.57640	0.57359
sid195	sid207	72	0.0000	-1.37461e+02	5	0.001	0	1.00000	1.00000
sid195	sid208	72	0.0000	-1.37461e+02	5	0.001	0	1.00000	1.00000
sid195	sid242	82	0.3902	-2.21226e+02	5	2.247	6	0.57640	0.57359
sid195	sid260	95	0.4632	-2.71320e+02	5	5.000	18	0.44717	0.42199
sid195	sid261	72	0.0000	-1.37461e+02	5	0.001	0	1.00000	1.00000
sid195	sid262	71	0.0000	-1.34746e+02	5	0.001	0	1.00000	1.00000
sid195	sid265	82	0.3902	-2.21226e+02	5	2.247	6	0.57640	0.57359
sid195	sid266	72	0.0000	-1.37461e+02	5	0.001	0	1.00000	1.00000
sid195	sid267	71	0.0000	-1.34746e+02	5	0.001	0	1.00000	1.00000
sid196	sid197	59	0.0000	-1.24535e+02	5	0.001	0	1.00000	1.00000
sid196	sid205	55	0.0000	-1.16197e+02	5	0.001	0	1.00000	1.00000
sid196	sid264	58	0.0000	-1.23503e+02	5	0.001	0	1.00000	1.00000
sid196	sid286	59	0.0000	-1.24535e+02	5	0.001	0	1.00000	1.00000
sid197	sid205	55	0.0000	-1.16197e+02	5	0.001	0	1.00000	1.00000
sid197	sid264	58	0.0000	-1.23503e+02	5	0.001	0	1.00000	1.00000
sid197	sid286	59	0.0000	-1.24535e+02	5	0.001	0	1.00000	1.00000
sid198	sid256	75	0.0000	-1.34753e+02	5	0.001	0	1.00000	1.00000
sid198	sid259	75	0.0000	-1.34753e+02	5	0.001	0	1.00000	1.00000
sid198	sid260	99	0.4848	-2.61891e+02	5	5.000	15	0.48057	0.44748
sid198	sid263	86	0.3488	-2.11718e+02	5	1.854	6	0.55937	0.63678
sid198	sid271	84	0.2262	-1.96443e+02	5	2.530	8	0.76426	0.78221
sid198	sid273	101	0.4950	-2.74612e+02	5	4.670	5	0.24176	0.27110
sid198	sid282	85	0.2235	-1.97410e+02	5	2.520	8	0.76426	0.78231
sid198	sid285	98	0.4898	-2.70014e+02	5	5.000	15	0.44200	0.43458
sid200	sid207	83	0.3855	-2.22261e+02	5	2.254	6	0.57640	0.57557
sid200	sid208	83	0.3855	-2.22261e+02	5	2.254	6	0.57640	0.57557
sid200	sid228	77	0.4545	-2.12920e+02	5	2.354	5	0.65494	0.64840
sid200	sid242	61	0.0000	-1.24867e+02	5	0.001	0	1.00000	1.00000
sid200	sid258	88	0.5000	-2.58387e+02	5	5.000	14	0.39550	0.41721
sid200	sid260	84	0.3810	-2.41941e+02	5	5.000	22	0.72541	0.59856
sid200	sid261	83	0.3855	-2.22261e+02	5	2.254	6	0.57640	0.57557
sid200	sid262	82	0.3780	-2.19550e+02	5	2.358	7	0.61671	0.58705
sid200	sid265	60	0.0000	-1.23835e+02	5	0.001	0	1.00000	1.00000
sid200	sid266	83	0.3855	-2.22261e+02	5	2.254	6	0.57640	0.57557
sid200	sid267	82	0.3780	-2.19550e+02	5	2.358	7	0.61671	0.58705
sid200	sid277	94	0.5000	-2.67955e+02	5	5.000	15	0.39834	0.40628
sid200	sid280	94	0.5000	-2.67955e+02	5	5.000	15	0.39834	0.40628
sid200	sid310	78	0.4487	-2.13870e+02	5	2.345	5	0.65494	0.64850
sid201	sid240	87	0.4138	-2.45123e+02	5	3.406	10	0.60150	0.56823
sid201	sid274	92	0.3370	-2.40787e+02	5	3.477	13	0.58251	0.60166
sid202	sid203	68	0.0147	-1.32373e+02	4	5.000	2	1.00000	0.99224
sid202	sid204	68	0.0147	-1.32267e+02	4	5.000	2	1.00000	0.99224
sid203	sid204	72	0.0000	-1.34287e+02	5	0.001	0	1.00000	1.00000
sid205	sid264	54	0.0000	-1.15165e+02	5	0.002	0	1.00000	1.00000
sid205	sid286	55	0.0000	-1.16197e+02	5	0.001	0	1.00000	1.00000
sid206	sid254	88	0.5000	-2.50377e+02	5	3.377	7	0.34608	0.39320
sid206	sid279	87	0.4713	-2.51672e+02	5	4.703	15	0.52152	0.52351
sid207	sid208	73	0.0000	-1.38493e+02	5	0.001	0	1.00000	1.00000
sid207	sid242	83	0.3855	-2.22261e+02	5	2.254	6	0.57640	0.57557
sid207	sid260	96	0.4583	-2.72342e+02	5	5.000	18	0.44717	0.42487
sid207	sid261	73	0.0000	-1.38493e+02	5	0.001	0	1.00000	1.00000
sid207	sid262	72	0.0000	-1.35778e+02	5	0.001	0	1.00000	1.00000
sid207	sid265	82	0.3902	-2.21226e+02	5	2.247	6	0.57640	0.57359
sid207	sid266	73	0.0000	-1.38493e+02	5	0.001	0	1.00000	1.00000
sid207	sid267	72	0.0000	-1.35778e+02	5	0.001	0	1.00000	1.00000
sid208	sid242	83	0.3855	-2.22261e+02	5	2.254	6	0.57640	0.57557
sid208	sid260	96	0.4583	-2.72342e+02	5	5.000	18	0.44717	0.42487
sid208	sid261	73	0.0000	-1.38493e+02	5	0.001	0	1.00000	1.00000
sid208	sid262	72	0.0000	-1.35778e+02	5	0.001	0	1.00000	1.00000
sid208	sid265	82	0.3902	-2.21226e+02	5	2.247	6	0.57640	0.57359
sid208	sid266	73	0.0000	-1.38493e+02	5	0.001	0	1.00000	1.00000
sid208	sid267	72	0.0000	-1.35778e+02	5	0.001	0	1.00000	1.00000
sid209	sid212	41	0.0000	-9.81059e+01	5	0.003	0	1.00000	1.00000
sid209	sid213	41	0.0000	-9.81244e+01	5	0.003	0	1.00000	1.00000
sid209	sid214	41	0.0000	-9.81059e+01	5	0.003	0	1.00000	1.00000
sid209	sid215	41	0.0000	-9.81059e+01	5	0.003	0	1.00000	1.00000
sid209	sid229	41	0.0000	-9.81059e+01	5	0.003	0	1.00000	1.00000
sid209	sid230	41	0.0000	-9.81059e+01	5	0.003	0	1.00000	1.00000
sid209	sid257	63	0.4762	-1.98229e+02	5	4.350	10	0.59239	0.56971
sid209	sid275	41	0.0000	-9.81059e+01	5	0.003	0	1.00000	1.00000
sid210	sid226	42	0.0000	-1.01072e+02	5	0.002	0	1.00000	1.00000
sid210	sid232	42	0.0000	-1.01072e+02	5	0.002	0	1.00000	1.00000
sid210	sid233	42	0.0000	-1.00779e+02	5	0.002	0	1.00000	1.00000
sid210	sid318	40	0.0750	-1.21965e+02	5	5.000	5	0.98541	0.91081
sid211	sid216	69	0.0145	-1.39139e+02	5	5.000	2	0.99990	0.97678
sid211	sid218	86	0.3140	-2.12640e+02	5	3.885	11	0.75923	0.73418
sid211	sid219	70	0.0000	-1.28396e+02	5	0.001	0	1.00000	1.00000
sid211	sid220	83	0.2771	-2.03283e+02	5	5.000	13	0.84219	0.80808
sid211	sid221	86	0.3140	-2.19742e+02	5	5.000	15	0.83363	0.72435
sid211	sid222	70	0.0000	-1.28290e+02	5	0.001	0	1.00000	1.00000
sid211	sid223	85	0.3059	-2.08401e+02	5	4.477	13	0.83421	0.74778
sid211	sid225	83	0.2771	-2.03283e+02	5	5.000	13	0.84219	0.80808
sid211	sid227	86	0.3140	-2.12640e+02	5	3.885	11	0.75923	0.73418
sid211	sid231	86	0.3140	-2.12640e+02	5	3.885	11	0.75923	0.73418
sid211	sid235	70	0.0000	-1.28290e+02	5	0.001	0	1.00000	1.00000
sid211	sid269	83	0.2771	-2.03283e+02	5	5.000	13	0.84219	0.80808
sid211	sid296	81	0.3580	-2.00138e+02	5	1.741	6	0.78604	0.63868
sid211	sid309	83	0.3133	-2.07698e+02	5	5.000	13	0.83993	0.72842
sid211	sid311	85	0.3059	-2.08448e+02	5	4.476	13	0.83421	0.74781
sid211	sid316	81	0.3580	-1.99921e+02	5	1.735	6	0.78604	0.63857
sid211	sid319	85	0.3294	-2.11505e+02	5	4.807	14	0.79580	0.70324
sid211	sid321	79	0.2658	-2.02006e+02	5	5.000	16	0.88575	0.80233
sid211	sid325	81	0.3580	-1.99921e+02	5	1.735	6	0.78604	0.63857
sid212	sid213	41	0.0000	-9.82117e+01	5	0.003	0	1.00000	1.00000
sid212	sid214	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid212	sid215	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid212	sid229	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid212	sid230	41	0.0000	-9.87988e+01	5	0.003	0	1.00000	1.00000
sid212	sid257	64	0.4688	-2.00608e+02	5	4.369	10	0.60921	0.57415
sid212	sid275	42	0.0000	-9.98308e+01	5	0.003	0	1.00000	1.00000
sid213	sid214	41	0.0000	-9.82117e+01	5	0.003	0	1.00000	1.00000
sid213	sid215	41	0.0000	-9.82117e+01	5	0.003	0	1.00000	1.00000
sid213	sid229	41	0.0000	-9.82117e+01	5	0.003	0	1.00000	1.00000
sid213	sid230	41	0.0000	-9.82117e+01	5	0.003	0	1.00000	1.00000
sid213	sid257	63	0.4762	-1.98452e+02	5	4.357	10	0.59239	0.56986
sid213	sid275	41	0.0000	-9.82117e+01	5	0.003	0	1.00000	1.00000
sid214	sid215	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid214	sid229	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid214	sid230	41	0.0000	-9.85047e+01	5	0.003	0	1.00000	1.00000
sid214	sid257	64	0.4688	-2.00372e+02	5	4.397	10	0.60921	0.57381
sid214	sid275	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid215	sid229	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid215	sid230	41	0.0000	-9.85047e+01	5	0.003	0	1.00000	1.00000
sid215	sid257	64	0.4688	-2.00372e+02	5	4.397	10	0.60921	0.57381
sid215	sid275	42	0.0000	-9.95368e+01	5	0.003	0	1.00000	1.00000
sid216	sid218	84	0.2976	-2.06009e+02	5	4.487	13	0.84777	0.75016
